time,v(1),i(V1),v(X0.q)
0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1.0000000e-06,1.2566371e-05,-1.2566371e-06,1.2566371e-12
2.0000000e-06,2.5132741e-05,-1.2566371e-06,2.5132741e-12
4.0000000e-06,5.0265482e-05,-1.2566371e-06,5.0265482e-12
8.0000000e-06,1.0053096e-04,-1.2566371e-06,1.0053096e-11
1.6000000e-05,2.0106193e-04,-1.2566370e-06,2.0106193e-11
3.2000000e-05,4.0212386e-04,-1.2566370e-06,4.0212385e-11
6.4000000e-05,8.0424770e-04,-1.2566368e-06,8.0424765e-11
1.2800000e-04,1.6084953e-03,-1.2566359e-06,1.6084949e-10
2.2800000e-04,2.8651315e-03,-1.2566327e-06,2.8651292e-10
3.2800000e-04,4.1217666e-03,-1.2566255e-06,4.1217583e-10
4.2800000e-04,5.3784001e-03,-1.2566184e-06,5.3783802e-10
5.2800000e-04,6.6350315e-03,-1.2566068e-06,6.6349927e-10
6.2800000e-04,7.8916603e-03,-1.2565953e-06,7.8915938e-10
7.2800000e-04,9.1482859e-03,-1.2565793e-06,9.1481810e-10
8.2800000e-04,1.0404908e-02,-1.2565634e-06,1.0404752e-09
9.2800000e-04,1.1661526e-02,-1.2565431e-06,1.1661306e-09
1.0280000e-03,1.2918139e-02,-1.2565229e-06,1.2917839e-09
1.1280000e-03,1.4174747e-02,-1.2564982e-06,1.4174349e-09
1.2280000e-03,1.5431350e-02,-1.2564736e-06,1.5430835e-09
1.3280000e-03,1.6687947e-02,-1.2564445e-06,1.6687294e-09
1.4280000e-03,1.7944536e-02,-1.2564155e-06,1.7943724e-09
1.5280000e-03,1.9201119e-02,-1.2563820e-06,1.9200123e-09
1.6280000e-03,2.0457695e-02,-1.2563487e-06,2.0456488e-09
1.7280000e-03,2.1714262e-02,-1.2563109e-06,2.1712818e-09
1.8280000e-03,2.2970820e-02,-1.2562732e-06,2.2969110e-09
1.9280000e-03,2.4227370e-02,-1.2562310e-06,2.4225362e-09
2.0280000e-03,2.5483910e-02,-1.2561889e-06,2.5481572e-09
2.1280000e-03,2.6740440e-02,-1.2561423e-06,2.6737738e-09
2.2280000e-03,2.7996959e-02,-1.2560959e-06,2.7993857e-09
2.3280000e-03,2.9253468e-02,-1.2560450e-06,2.9249927e-09
2.4280000e-03,3.0509964e-02,-1.2559941e-06,3.0505947e-09
2.5280000e-03,3.1766449e-02,-1.2559388e-06,3.1761913e-09
2.6280000e-03,3.3022921e-02,-1.2558837e-06,3.3017824e-09
2.7280000e-03,3.4279380e-02,-1.2558240e-06,3.4273678e-09
2.8280000e-03,3.5535826e-02,-1.2557645e-06,3.5529473e-09
2.9280000e-03,3.6792258e-02,-1.2557004e-06,3.6785205e-09
3.0280000e-03,3.8048675e-02,-1.2556365e-06,3.8040873e-09
3.1280000e-03,3.9305077e-02,-1.2555682e-06,3.9296476e-09
3.2280000e-03,4.0561463e-02,-1.2554999e-06,4.0552010e-09
3.3280000e-03,4.1817834e-02,-1.2554271e-06,4.1807473e-09
3.4280000e-03,4.3074188e-02,-1.2553545e-06,4.3062864e-09
3.5280000e-03,4.4330525e-02,-1.2552774e-06,4.4318180e-09
3.6280000e-03,4.5586844e-02,-1.2552004e-06,4.5573419e-09
3.7280000e-03,4.6843146e-02,-1.2551190e-06,4.6828579e-09
3.8280000e-03,4.8099429e-02,-1.2550376e-06,4.8083657e-09
3.9280000e-03,4.9355693e-02,-1.2549518e-06,4.9338652e-09
4.0280000e-03,5.0611937e-02,-1.2548661e-06,5.0593561e-09
4.1280000e-03,5.1868162e-02,-1.2547759e-06,5.1848382e-09
4.2280000e-03,5.3124366e-02,-1.2546859e-06,5.3103113e-09
4.3280000e-03,5.4380549e-02,-1.2545914e-06,5.4357751e-09
4.4280000e-03,5.5636711e-02,-1.2544970e-06,5.5612295e-09
4.5280000e-03,5.6892850e-02,-1.2543981e-06,5.6866743e-09
4.6280000e-03,5.8148968e-02,-1.2542993e-06,5.8121092e-09
4.7280000e-03,5.9405062e-02,-1.2541961e-06,5.9375339e-09
4.8280000e-03,6.0661133e-02,-1.2540930e-06,6.0629484e-09
4.9280000e-03,6.1917180e-02,-1.2539854e-06,6.1883523e-09
5.0280000e-03,6.3173202e-02,-1.2538780e-06,6.3137455e-09
5.1280000e-03,6.4429199e-02,-1.2537661e-06,6.4391277e-09
