time,v(i1),v(X0.Q),v(X0.x)
0.0000000e+00,0.0000000e+00,0.0000000e+00,1.0000000e-12
1.0000000e-10,4.7123890e-05,4.7123890e-17,1.0000000e-12
2.0000000e-10,9.4247780e-05,9.4247780e-17,1.0000000e-12
4.0000000e-10,1.8849556e-04,1.8849556e-16,1.0000000e-12
8.0000000e-10,3.7699111e-04,3.7699111e-16,1.0000000e-12
1.6000000e-09,7.5398221e-04,7.5398221e-16,1.0000000e-12
3.2000000e-09,1.5079642e-03,1.5079642e-15,1.0000000e-12
6.4000000e-09,3.0159269e-03,3.0159269e-15,1.0000000e-12
1.2800000e-08,6.0318416e-03,6.0318416e-15,1.0000000e-12
2.2800000e-08,1.0744155e-02,1.0744155e-14,1.0000000e-12
3.2800000e-08,1.5456362e-02,1.5456362e-14,1.0000000e-12
4.2800000e-08,2.0168417e-02,2.0168417e-14,1.0000000e-12
5.2800000e-08,2.4880273e-02,2.4880273e-14,1.0000000e-12
6.2800000e-08,2.9591883e-02,2.9591883e-14,1.0000000e-12
7.2800000e-08,3.4303201e-02,3.4303201e-14,1.0000000e-12
8.2800000e-08,3.9014181e-02,3.9014181e-14,1.0000000e-12
9.2800000e-08,4.3724775e-02,4.3724775e-14,1.0000000e-12
1.0280000e-07,4.8434938e-02,4.8434938e-14,1.0000000e-12
1.1280000e-07,5.3144623e-02,5.3144623e-14,1.0000000e-12
1.2280000e-07,5.7853783e-02,5.7853783e-14,1.0000000e-12
1.3280000e-07,6.2562373e-02,6.2562373e-14,1.0000000e-12
1.4280000e-07,6.7270345e-02,6.7270345e-14,1.0000000e-12
1.5280000e-07,7.1977653e-02,7.1977653e-14,1.0000000e-12
1.6280000e-07,7.6684250e-02,7.6684250e-14,1.0000000e-12
1.7280000e-07,8.1390091e-02,8.1390091e-14,1.0000000e-12
1.8280000e-07,8.6095129e-02,8.6095129e-14,1.0000000e-12
1.9280000e-07,9.0799316e-02,9.0799316e-14,1.0000000e-12
2.0280000e-07,9.5502608e-02,9.5502608e-14,1.0000000e-12
2.1280000e-07,1.0020496e-01,1.0020496e-13,1.0000000e-12
2.2280000e-07,1.0490632e-01,1.0490632e-13,1.0000000e-12
2.3280000e-07,1.0960664e-01,1.0960664e-13,1.0000000e-12
2.4280000e-07,1.1430588e-01,1.1430588e-13,1.0000000e-12
2.5280000e-07,1.1900400e-01,1.1900400e-13,1.0000000e-12
2.6280000e-07,1.2370094e-01,1.2370094e-13,1.0000000e-12
2.7280000e-07,1.2839666e-01,1.2839666e-13,1.0000000e-12
2.8280000e-07,1.3309111e-01,1.3309111e-13,1.0000000e-12
2.9280000e-07,1.3778425e-01,1.3778425e-13,1.0000000e-12
3.0280000e-07,1.4247603e-01,1.4247603e-13,1.0000000e-12
3.1280000e-07,1.4716640e-01,1.4716640e-13,1.0000000e-12
3.2280000e-07,1.5185532e-01,1.5185532e-13,1.0000000e-12
3.3280000e-07,1.5654274e-01,1.5654274e-13,1.0000000e-12
3.4280000e-07,1.6122862e-01,1.6122862e-13,1.0000000e-12
3.5280000e-07,1.6591290e-01,1.6591290e-13,1.0000000e-12
3.6280000e-07,1.7059555e-01,1.7059555e-13,1.0000000e-12
3.7280000e-07,1.7527651e-01,1.7527651e-13,1.0000000e-12
3.8280000e-07,1.7995575e-01,1.7995575e-13,1.0000000e-12
3.9280000e-07,1.8463321e-01,1.8463321e-13,1.0000000e-12
4.0280000e-07,1.8930884e-01,1.8930884e-13,1.0000000e-12
4.1280000e-07,1.9398261e-01,1.9398261e-13,1.0000000e-12
4.2280000e-07,1.9865446e-01,1.9865446e-13,1.0000000e-12
4.3280000e-07,2.0332435e-01,2.0332435e-13,1.0000000e-12
4.4280000e-07,2.0799224e-01,2.0799224e-13,1.0000000e-12
4.5280000e-07,2.1265807e-01,2.1265807e-13,1.0000000e-12
4.6280000e-07,2.1732181e-01,2.1732181e-13,1.0000000e-12
4.7280000e-07,2.2198339e-01,2.2198339e-13,1.0000000e-12
4.8280000e-07,2.2664279e-01,2.2664279e-13,1.0000000e-12
4.9280000e-07,2.3129995e-01,2.3129995e-13,1.0000000e-12
5.0280000e-07,2.3595483e-01,2.3595483e-13,1.0000000e-12
5.1280000e-07,2.4060738e-01,2.4060738e-13,1.0000000e-12
5.2280000e-07,2.4525755e-01,2.4525755e-13,1.0000000e-12
5.3280000e-07,2.4990531e-01,2.4990531e-13,1.0000000e-12
